"Exec","Kernel","SNP"
1,"Radial_0.01","SNP2"
1,"Radial_0.01","SNP1"
1,"Radial_0.01","SNP42"
1,"Radial_0.01","SNP64"
1,"Radial_0.01","SNP20"
1,"Radial_0.01","SNP48"
1,"Radial_0.01","SNP36"
1,"Radial_0.01","SNP88"
1,"Radial_0.01","SNP97"
1,"Radial_0.01","SNP54"
1,"Radial_0.01","SNP78"
1,"Radial_0.01","SNP11"
1,"Radial_0.01","SNP49"
1,"Radial_0.01","SNP83"
1,"Radial_0.01","SNP33"
1,"Radial_0.01","SNP4"
1,"Radial_0.01","SNP69"
1,"Radial_0.01","SNP81"
2,"Radial_0.01","SNP2"
2,"Radial_0.01","SNP1"
2,"Radial_0.01","SNP42"
2,"Radial_0.01","SNP64"
2,"Radial_0.01","SNP20"
2,"Radial_0.01","SNP88"
2,"Radial_0.01","SNP97"
2,"Radial_0.01","SNP54"
2,"Radial_0.01","SNP32"
2,"Radial_0.01","SNP30"
2,"Radial_0.01","SNP78"
2,"Radial_0.01","SNP11"
3,"Radial_0.01","SNP2"
3,"Radial_0.01","SNP1"
3,"Radial_0.01","SNP5"
3,"Radial_0.01","SNP42"
3,"Radial_0.01","SNP64"
3,"Radial_0.01","SNP20"
3,"Radial_0.01","SNP48"
3,"Radial_0.01","SNP36"
3,"Radial_0.01","SNP88"
3,"Radial_0.01","SNP97"
3,"Radial_0.01","SNP54"
3,"Radial_0.01","SNP30"
3,"Radial_0.01","SNP32"
3,"Radial_0.01","SNP34"
3,"Radial_0.01","SNP11"
3,"Radial_0.01","SNP23"
3,"Radial_0.01","SNP4"
3,"Radial_0.01","SNP33"
3,"Radial_0.01","SNP81"
3,"Radial_0.01","SNP70"
3,"Radial_0.01","SNP93"
4,"Radial_0.01","SNP2"
4,"Radial_0.01","SNP1"
4,"Radial_0.01","SNP42"
4,"Radial_0.01","SNP64"
4,"Radial_0.01","SNP20"
4,"Radial_0.01","SNP97"
4,"Radial_0.01","SNP32"
4,"Radial_0.01","SNP78"
4,"Radial_0.01","SNP49"
4,"Radial_0.01","SNP98"
4,"Radial_0.01","SNP70"
4,"Radial_0.01","SNP4"
4,"Radial_0.01","SNP81"
5,"Radial_0.01","SNP2"
5,"Radial_0.01","SNP1"
5,"Radial_0.01","SNP5"
5,"Radial_0.01","SNP42"
5,"Radial_0.01","SNP64"
5,"Radial_0.01","SNP48"
5,"Radial_0.01","SNP36"
5,"Radial_0.01","SNP54"
5,"Radial_0.01","SNP32"
5,"Radial_0.01","SNP34"
5,"Radial_0.01","SNP78"
5,"Radial_0.01","SNP92"
5,"Radial_0.01","SNP49"
5,"Radial_0.01","SNP11"
5,"Radial_0.01","SNP98"
5,"Radial_0.01","SNP4"
5,"Radial_0.01","SNP95"
5,"Radial_0.01","SNP81"
5,"Radial_0.01","SNP70"
6,"Radial_0.01","SNP2"
6,"Radial_0.01","SNP1"
6,"Radial_0.01","SNP20"
6,"Radial_0.01","SNP36"
6,"Radial_0.01","SNP48"
6,"Radial_0.01","SNP97"
6,"Radial_0.01","SNP88"
6,"Radial_0.01","SNP54"
6,"Radial_0.01","SNP11"
6,"Radial_0.01","SNP49"
6,"Radial_0.01","SNP98"
6,"Radial_0.01","SNP83"
6,"Radial_0.01","SNP95"
6,"Radial_0.01","SNP70"
6,"Radial_0.01","SNP99"
7,"Radial_0.01","SNP2"
7,"Radial_0.01","SNP1"
7,"Radial_0.01","SNP5"
7,"Radial_0.01","SNP42"
7,"Radial_0.01","SNP48"
7,"Radial_0.01","SNP36"
7,"Radial_0.01","SNP88"
7,"Radial_0.01","SNP78"
7,"Radial_0.01","SNP92"
7,"Radial_0.01","SNP11"
7,"Radial_0.01","SNP23"
7,"Radial_0.01","SNP83"
7,"Radial_0.01","SNP98"
7,"Radial_0.01","SNP33"
7,"Radial_0.01","SNP95"
7,"Radial_0.01","SNP4"
7,"Radial_0.01","SNP99"
7,"Radial_0.01","SNP77"
8,"Radial_0.01","SNP2"
8,"Radial_0.01","SNP1"
8,"Radial_0.01","SNP5"
8,"Radial_0.01","SNP42"
8,"Radial_0.01","SNP64"
8,"Radial_0.01","SNP36"
8,"Radial_0.01","SNP88"
8,"Radial_0.01","SNP97"
8,"Radial_0.01","SNP54"
8,"Radial_0.01","SNP30"
8,"Radial_0.01","SNP32"
8,"Radial_0.01","SNP14"
8,"Radial_0.01","SNP98"
9,"Radial_0.01","SNP2"
9,"Radial_0.01","SNP1"
9,"Radial_0.01","SNP42"
9,"Radial_0.01","SNP64"
9,"Radial_0.01","SNP88"
9,"Radial_0.01","SNP97"
9,"Radial_0.01","SNP30"
9,"Radial_0.01","SNP78"
9,"Radial_0.01","SNP14"
9,"Radial_0.01","SNP49"
9,"Radial_0.01","SNP98"
10,"Radial_0.01","SNP2"
10,"Radial_0.01","SNP1"
10,"Radial_0.01","SNP5"
10,"Radial_0.01","SNP42"
10,"Radial_0.01","SNP64"
10,"Radial_0.01","SNP20"
10,"Radial_0.01","SNP97"
10,"Radial_0.01","SNP88"
10,"Radial_0.01","SNP54"
10,"Radial_0.01","SNP92"
10,"Radial_0.01","SNP34"
10,"Radial_0.01","SNP14"
