"Exec","Kernel","SNP"
1,"Radial_0.1","SNP2"
1,"Radial_0.1","SNP1"
1,"Radial_0.1","SNP36"
1,"Radial_0.1","SNP88"
1,"Radial_0.1","SNP14"
1,"Radial_0.1","SNP49"
2,"Radial_0.1","SNP2"
2,"Radial_0.1","SNP1"
2,"Radial_0.1","SNP5"
2,"Radial_0.1","SNP36"
2,"Radial_0.1","SNP88"
2,"Radial_0.1","SNP23"
3,"Radial_0.1","SNP2"
3,"Radial_0.1","SNP1"
3,"Radial_0.1","SNP5"
3,"Radial_0.1","SNP42"
3,"Radial_0.1","SNP36"
3,"Radial_0.1","SNP54"
4,"Radial_0.1","SNP2"
4,"Radial_0.1","SNP1"
4,"Radial_0.1","SNP5"
4,"Radial_0.1","SNP42"
4,"Radial_0.1","SNP20"
4,"Radial_0.1","SNP34"
4,"Radial_0.1","SNP11"
5,"Radial_0.1","SNP2"
5,"Radial_0.1","SNP1"
5,"Radial_0.1","SNP5"
5,"Radial_0.1","SNP88"
5,"Radial_0.1","SNP92"
6,"Radial_0.1","SNP2"
6,"Radial_0.1","SNP1"
6,"Radial_0.1","SNP5"
6,"Radial_0.1","SNP34"
7,"Radial_0.1","SNP2"
7,"Radial_0.1","SNP1"
7,"Radial_0.1","SNP5"
7,"Radial_0.1","SNP48"
7,"Radial_0.1","SNP88"
7,"Radial_0.1","SNP97"
7,"Radial_0.1","SNP92"
8,"Radial_0.1","SNP2"
8,"Radial_0.1","SNP1"
8,"Radial_0.1","SNP5"
8,"Radial_0.1","SNP88"
8,"Radial_0.1","SNP54"
8,"Radial_0.1","SNP78"
8,"Radial_0.1","SNP14"
9,"Radial_0.1","SNP2"
9,"Radial_0.1","SNP1"
9,"Radial_0.1","SNP5"
9,"Radial_0.1","SNP36"
9,"Radial_0.1","SNP88"
9,"Radial_0.1","SNP30"
9,"Radial_0.1","SNP34"
9,"Radial_0.1","SNP14"
10,"Radial_0.1","SNP2"
10,"Radial_0.1","SNP1"
10,"Radial_0.1","SNP5"
10,"Radial_0.1","SNP48"
10,"Radial_0.1","SNP97"
10,"Radial_0.1","SNP30"
10,"Radial_0.1","SNP34"
10,"Radial_0.1","SNP32"
10,"Radial_0.1","SNP83"
